rowname	PDX	Puleo	ICGCarray	ICGCrnaseq
PDAC001T	-0.5964110045715616	-0.5743402345134361	-0.623438150422536	-0.6252246245881741
PDAC003T	-0.5283380862042895	-0.4682540405387441	-0.40313652192540816	-0.44430877060341245
PDAC006T	0.4156621879898774	0.36082515224380896	0.40866460468410665	0.41405099846250243
PDAC007T	0.16932892955601803	0.12933685099410136	0.150873864304867	0.20470459893671736
PDAC008T	0.2771337240282321	0.37628691543305937	0.33546199034262963	0.26486079465844614
PDAC009T	-0.37053049963670054	-0.3932862210910405	-0.3128637134720243	-0.33339954845146264
PDAC011T	0.3542225505647722	0.4088016955033867	0.47514368567486986	0.38385434542767943
PDAC012T	0.22840903924412903	0.24584244627190294	0.2559558567309705	0.2255525929662072
PDAC013T	-0.39444647881766753	-0.47478197672413625	-0.40118138274367326	-0.40113192496523253
PDAC014T	0.033507526076905526	0.011529209551098409	0.03204925994736206	0.07969695108403382
PDAC015T	0.16034190139128526	0.08851159444794843	0.052987822995132605	0.1844431828095416
PDAC016T	-0.03468502450209625	-0.025480014894555807	-0.04291798684906989	-0.056159049833777244
PDAC017T	0.30985960635685467	0.22816789923847028	0.27174036580467237	0.28727031055104013
PDAC018T	0.1601254750801223	0.20442129344155746	0.1516027062703755	0.2192331495048061
PDAC019T	0.2322993949186934	0.19342708096300165	0.16744792924624827	0.14996410319441555
PDAC020T	-0.14075260089258415	-0.13166748360946964	-0.1895268292346896	-0.15195785948241855
PDAC021T	-0.8060469824550395	-0.8635313735784943	-0.8623253687986239	-0.9025320815468595
PDAC022T	-0.15145022240684797	-0.05694375345814399	-0.11017815736740308	-0.1551679489728631
PDAC024T	-0.25404860455915557	-0.13786706474605676	-0.25461500004701454	-0.2784311407606573
PDAC025T	0.06390752303806399	0.15128735820125291	0.08597250800595926	0.12135083801960918
PDAC026T	0.18798364993109348	0.07122683025202603	0.115798700378417	0.18492598703577517
PDAC027T	0.10762278052187199	0.13093676630568798	0.12066502129840229	0.15418213777369172
PDAC028T	-0.44469086753029763	-0.42916689116338763	-0.42661816837901545	-0.3762701186217758
PDAC029T	0.3511342730568545	0.22721456246981303	0.26377929389942517	0.2890378901295108
PDAC030T	0.3458513946402346	0.4046433847051483	0.36776803851636414	0.26036603266783453
PDAC031T	0.14685307949663476	0.057332115228931564	0.12513849424909806	0.14885372318920584
PDAC032T	0.1771573356845981	0.2655278990662712	0.24575113689055894	0.15223543141561627
