NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AKT1	92	0.0401955246925354	0.011580005	No	
row_1	KDM4B	186	0.039369791746139526	0.019976204	No	
row_2	RARA	364	0.03678666800260544	-0.06402548	No	
row_3	PLIN1	409	0.03537909686565399	-0.016140785	No	
row_4	CTSD	564	0.030011750757694244	-0.09445564	No	
row_5	RXRA	640	0.025601081550121307	-0.10380182	Yes	
row_6	DHRS3	681	0.022050920873880386	-0.08677592	Yes	
row_7	CYP26A1	700	0.02063630148768425	-0.051031977	Yes	
row_8	HSPB1	726	0.0178793054074049	-0.029650338	Yes	
row_9	APOC4	749	0.014908269047737122	-0.012998376	Yes	
row_10	CXCL12	842	-0.014241804368793964	-0.06944913	Yes	
row_11	GTF2A2	861	-0.017091894522309303	-0.042995907	Yes	
row_12	TBL1XR1	901	-0.020881734788417816	-0.028015355	Yes	
row_13	APOC2	917	-0.02241932787001133	0.01546042	Yes	
row_14	GNG12	932	-0.024046262726187706	0.06422014	Yes	
