Input Sample	B Cells	CD4 T Cells	CD8 T Cells	Dendritic Cells	Eosinophils	Macrophages	Mast Cells	Monocytes	Neutrophils	NK Cells	P-value	Pearson Correlation	RMSE
PDAC001T	0	0.016514837000548534	0	0.023990404795176504	0	0.7769869466903819	0.0016210889151170639	0.17997175479535957	0	0.0009	0.03	0.8046800643217334	0.9332236467541869
PDAC008T	0.01331279367071165	0.03689233436315494	0.008293164932631367	0.0041682955975580645	0.0003	0.8368748615307009	0	0.09954728440183175	0	0.0006	0.04	0.5103040849485206	0.9613552933718326
PDAC011T	0.005678907647587291	0.01140721266429291	0	0.001527399811358519	0	0.8353594267002946	0.0022419422114826723	0.14358668287220194	0	0.0002	0.04	0.5850345769169104	0.9529642336585276
PDAC012T	0.03748221124795554	0.02328575534011586	0	0.017752161586685467	0.0003	0.707041608577893	0.0024327250647098674	0.21003929711013405	0	0.0017105789530008637	0.04	0.6148320280967962	0.953727118365599
PDAC013T	0.008023681735153788	0.12486706945977735	0.005764463036912935	0.0010137334210597768	0.0002	0.6087497662617569	0.0018901889075256366	0.24730499864828576	0.0002	0.0019563253163023707	0.03	0.7275215212744364	0.9487061193978022
PDAC015T	0.02935637086010724	0.21395628580732412	0.05546229726036491	0	0	0.5041002740048478	0.0009	0.18344291024122195	0.011080287572057045	0.0017408660514827987	0.04	0.597658036777571	0.9646192237411639
PDAC017T	0.0018393787137858885	0.10158173245110153	0.04677198040117359	0.018279943751401576	0	0.6940797297854101	0.0014881459045846192	0.13530482721541626	0	0.0007	0.03	0.6464713084209464	0.9548932677005711
PDAC018T	0.009959410882210197	0.08026296489579851	0	0.028070927742940347	0	0.6758600968859201	0	0.20511804737010467	0.0007	0	0.03	0.7238773031290228	0.945954242264309
PDAC019T	0.0013767519685120044	0.03903774596004085	0.010532955134650017	0.009628389723554282	0	0.8607668379232413	0.0010458086083937953	0.07471031433325939	0	0.0029011963483483237	0.04	0.5109170864365867	0.9608583108771082
PDAC020T	0.0006	0.019325432445094742	0.00434646006723679	0.011771788388752823	0	0.7357432454813758	0.01431573523004916	0.21375919790703368	0	0.0002	0.03	0.766444595585565	0.9381353341952281
PDAC021T	0.009586859197443492	0.07415498605806117	0.003302517383275855	0.01790944496049243	0.0001	0.7001803815439548	0	0.19347654536689168	0.0004	0.0009	0.03	0.8049514736779109	0.9384021151478659
PDAC022T	0.022664334572096413	0.015014065096374592	0	0.023706394974349242	0	0.7831643250080397	0.013659011156390947	0.14150831200579142	0	0.0003	0.03	0.8238102055632657	0.9328934195695741
PDAC024T	0.008720600453790988	0.0794548533737718	0.011959047975468857	0.10720702820376071	0	0.6141984899497731	0.0009	0.17596285957694838	0	0.0015960529042794915	0.03	0.6346613559288633	0.9517469073219532
PDAC025T	0.0026614398806061616	0.00921039841759341	0.002869619883103807	0.004033476968463106	0	0.7948298021129234	0.0027142824774516734	0.18368098025985852	0	0	0.04	0.5788547265254262	0.95402251725996
PDAC026T	0.026144185582326937	0.11926736708420858	0.028713601720684868	0.022206188800145816	0	0.5957949293604701	0.0009	0.2052632752599414	0	0.0016539646960362434	0.03	0.6973730793839975	0.953253153188825
PDAC027T	0.016171466566344377	0.07746324816890993	0.012968318354643465	0.0024420427010755806	0.0002	0.7276550156723159	0	0.15958614204698024	0.0002	0.0033687003320620147	0.03	0.7470018911167436	0.9438052381856503
PDAC028T	0	0.016281231711694353	0	0	0.0001	0.7933045659532821	0.002251592445208517	0.18149363022125364	0	0.00652255424752095	0.03	0.810525246816447	0.9317341546328112
PDAC029T	0.003714133279196315	0.02088071217176813	0.005301680917181909	0	0.0003	0.7459797007991333	0.007178972731049207	0.2144380563151346	0	0.002236463484705537	0.04	0.5300556359632724	0.9597209408759498
PDAC030T	0.003340785780846175	0.05507757694630791	0.014778803513880527	0.004770732646219415	0.0002	0.716564635647339	0.0022081113988754227	0.19867053040238264	0	0.004432256265331081	0.03	0.7804437289769479	0.9394377984150154
PDAC031T	0.004116298270633896	0.009629633925619475	0	0	0.0001	0.822190811963848	0.006246123581064104	0.15769062564875497	0	0	0.03	0.6439295604003906	0.9474611205492208
PDAC032T	0.00616690111959009	0.005059086276961286	0.006963134670159936	0.001909725297839924	0.0001	0.7964368823601146	0.001937832519447708	0.18137736955788158	0	0	0.03	0.6375236370172523	0.9485201071848562
