"PDX"	"K2"
"PDAC018T"	"PDAC018T"	"1"
"PDAC029T"	"PDAC029T"	"1"
"PDAC013T"	"PDAC013T"	"1"
"PDAC020T"	"PDAC020T"	"1"
"PDAC021T"	"PDAC021T"	"1"
"PDAC017T"	"PDAC017T"	"1"
"PDAC031T"	"PDAC031T"	"2"
"PDAC012T"	"PDAC012T"	"2"
"PDAC032T"	"PDAC032T"	"1"
"PDAC028T"	"PDAC028T"	"1"
"PDAC030T"	"PDAC030T"	"1"
"PDAC027T"	"PDAC027T"	"1"
"PDAC025T"	"PDAC025T"	"1"
"PDAC011T"	"PDAC011T"	"2"
"PDAC024T"	"PDAC024T"	"1"
"PDAC008T"	"PDAC008T"	"2"
"PDAC026T"	"PDAC026T"	"2"
"PDAC019T"	"PDAC019T"	"1"
"PDAC015T"	"PDAC015T"	"1"
"PDAC001T"	"PDAC001T"	"1"
"PDAC022T"	"PDAC022T"	"2"
