Genes,Basal,Classical
VGLL1,1,0
UCA1,1,0
S100A2,1,0
LY6D,1,0
SPRR3,1,0
SPRR1B,1,0
LEMD1,1,0
KRT15,1,0
CTSL2,1,0
DHRS9,1,0
AREG,1,0
CST6,1,0
SERPINB3,1,0
KRT6C,1,0
KRT6A,1,0
SERPINB4,1,0
FAM83A,1,0
SCEL,1,0
FGFBP1,1,0
KRT7,1,0
KRT17,1,0
GPR87,1,0
TNS4,1,0
SLC2A1,1,0
ANXA8L2,1,0
BTNL8,0,1
FAM3D,0,1
PRR15L,0,1
AGR3,0,1
CTSE,0,1
LOC400573,0,1
LYZ,0,1
TFF2,0,1
TFF1,0,1
ANXA10,0,1
LGALS4,0,1
PLA2G10,0,1
CEACAM6,0,1
VSIG2,0,1
TSPAN8,0,1
ST6GALNAC1,0,1
AGR2,0,1
TFF3,0,1
CYP3A7,0,1
MYO1A,0,1
CLRN3,0,1
KRT20,0,1
CDH17,0,1
SPINK4,0,1
REG4,0,1
