rowname	V1	sname	origin
D208R074	D208R074	M1483	cindy
D208R072	D208R072	M1090T	cindy
D208R075	D208R075	M648	cindy
D208R080	D208R080	PSC5	cindy
D208R095	D208R095	MAYCLpr	toulouse
D208R098	D208R098	17TA	toulouse
D208R103	D208R103	CALMAT	toulouse
D208R084	D208R084	PSC48	cindy
D208R090	D208R090	AUDMAMcxtum	toulouse
D208R086	D208R086	17AC	toulouse
D208R077	D208R077	M1198	cindy
D208R073	D208R073	M1517	cindy
D208R093	D208R093	CAF2007	toulouse
D208R104	D208R104	BAABEp	toulouse
D208R071	D208R071	M124S	cindy
D208R094	D208R094	02136htert	toulouse
D208R089	D208R089	GALSOMcxtum	toulouse
D208R101	D208R101	PEYMI	toulouse
D208R087	D208R087	Gouchhtert	toulouse
D208R105	D208R105	CHAGEp	toulouse
D208R096	D208R096	MAUDO	toulouse
D208R107	D208R107	MAYCLhtert	toulouse
D208R069	D208R069	M152	cindy
D208R091	D208R091	Gouchp	toulouse
D208R106	D208R106	02136p	toulouse
D208R108	D208R108	1910	toulouse
D208R083	D208R083	PSC46	cindy
D208R078	D208R078	M539	cindy
D208R099	D208R099	CHAGEhtert	toulouse
D208R092	D208R092	GALSOMcxsain	toulouse
D208R076	D208R076	M158	cindy
D208R070	D208R070	M146	cindy
D208R085	D208R085	PS1	cindy
D208R079	D208R079	M1092	cindy
D208R081	D208R081	PSC11	cindy
D208R100	D208R100	RPMI1	toulouse
D208R102	D208R102	DALSO	toulouse
D208R082	D208R082	PSC25	cindy
D208R109	D208R109	DPC6	toulouse
D208R097	D208R097	02139htert	toulouse
D208R088	D208R088	17Thtert	toulouse
